Product Name,Quantity Needed,Pack Size,Pack Price USD,Cost Used USD,Link
MP3 Decoder Board,1,1,4.41,4.41,https://ar.aliexpress.com/item/1005010774911413.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.1975wFzwwFzwzE&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=bebd61aa-1ac3-49ea-8ae9-fe8057bac482&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3Abebd61aa-1ac3-49ea-8ae9-fe8057bac482%2Ctpp_buckets%3A668%232846%238112%231997&pdp_ext_f=%7B%22order%22%3A%2266%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005010774911413%7C_p_origin_prod%3A&gatewayAdapt=glo2ara
18650 Battery Holder,1,10,6.90,0.69,https://ar.aliexpress.com/item/1005009032317782.html?spm=a2g0o.productlist.main.49.3af21ea7aEA4WR&algo_pvid=436ac348-422a-4b12-b299-2f46c6e5a428&pdp_ext_f=%7B%22order%22%3A%2233%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009032317782%7C_p_origin_prod%3A
TP4056 Type-C Charging Board,1,2,3.57,1.79,https://ar.aliexpress.com/item/1005010263669866.html?spm=a2g0o.productlist.main.2.184f2a228uxZ7G&algo_pvid=8fc95479-174c-47ce-bc40-d2c400238f80&pdp_ext_f=%7B%22order%22%3A%22513%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010263669866%7C_p_origin_prod%3A
 Switch,1,2,0.67,0.34,https://ar.aliexpress.com/item/1005009187497448.html?spm=a2g0o.productlist.main.20.54a1eTUteTUty7&aem_p4p_detail=202603110927264158856631584640000624041&algo_pvid=989cee9f-69d2-45d2-a882-bef449244b41&pdp_ext_f=%7B%22order%22%3A%22282%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009187497448%7C_p_origin_prod%3A&search_p4p_id=202603110927264158856631584640000624041_5
18650 Li-ion Battery,1,1,17.66,17.66,https://ar.aliexpress.com/item/1005005362011266.html?spm=a2g0o.productlist.main.3.1388wZCuwZCuzA&algo_pvid=e93d4bc6-6a73-43d0-b8cd-b910ad059a2d&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005362011266%7C_p_origin_prod%3A
TOTAL USED,,, ,24.89,
TOTAL CART PRICE,,,33.21,,
